Rotation: -6.2402782743771406, Roll: -1.740021733830365, Pitch: 35.269686738807714, Yaw: -9.990594168366714, Timestamp: 1754491029158
Rotation: -6.238666854858305, Roll: -1.7669918023250764, Pitch: 34.690016942190056, Yaw: -9.634234873784838, Timestamp: 1754491029149
Rotation: -6.237721031982707, Roll: -1.764896337235849, Pitch: 34.09613916431607, Yaw: -9.265111844650566, Timestamp: 1754491029138
Rotation: -6.2371791471189795, Roll: -1.7467474417965176, Pitch: 33.50818472855327, Yaw: -8.881506170769828, Timestamp: 1754491029129
Rotation: -6.236464612209225, Roll: -1.7361527851683534, Pitch: 32.9431422083205, Yaw: -8.48068424678628, Timestamp: 1754491029119
Rotation: -6.234995242003986, Roll: -1.754527733301669, Pitch: 32.40970601225131, Yaw: -8.061219569179698, Timestamp: 1754491029108
Rotation: -6.232735461356063, Roll: -1.8019116690174144, Pitch: 31.912410144355754, Yaw: -7.622112824649227, Timestamp: 1754491029099
Rotation: -6.230260054090465, Roll: -1.8572755601577935, Pitch: 31.458265042854336, Yaw: -7.162463768788129, Timestamp: 1754491029089
Rotation: -6.227851843683705, Roll: -1.9115441537980988, Pitch: 31.056873049822055, Yaw: -6.6870177039055765, Timestamp: 1754491029078
Rotation: -6.225345059667131, Roll: -1.9713109004545033, Pitch: 30.71294852540151, Yaw: -6.200599013668653, Timestamp: 1754491029069
Rotation: -6.2227656323997405, Roll: -2.0358919338954244, Pitch: 30.42418253142906, Yaw: -5.706229768612717, Timestamp: 1754491029058
Rotation: -6.22021465781691, Roll: -2.1017514441910294, Pitch: 30.18367033579086, Yaw: -5.200965868906036, Timestamp: 1754491029049
Rotation: -6.21805278227008, Roll: -2.156501011163345, Pitch: 29.98129155749153, Yaw: -4.679420158157238, Timestamp: 1754491029038
Rotation: -6.216765451756373, Roll: -2.1832024247519026, Pitch: 29.799873040532326, Yaw: -4.136346319525442, Timestamp: 1754491029029
Rotation: -6.216662627924425, Roll: -2.170648971414891, Pitch: 29.619452786625622, Yaw: -3.5823341809758285, Timestamp: 1754491029019
Rotation: -6.2176062142815, Roll: -2.123063587720244, Pitch: 29.42713423999404, Yaw: -3.033890531135019, Timestamp: 1754491029008
Rotation: -6.219323046471212, Roll: -2.049487911272858, Pitch: 29.21547713383124, Yaw: -2.4915857669617574, Timestamp: 1754491028998
Rotation: -6.2216721776903805, Roll: -1.9550820405557905, Pitch: 28.9826639937792, Yaw: -1.954877516554683, Timestamp: 1754491028989
Rotation: -6.224159080836012, Roll: -1.8564705827494368, Pitch: 28.731586794271344, Yaw: -1.420310092162646, Timestamp: 1754491028979
Rotation: -6.226526161658635, Roll: -1.7628605307889769, Pitch: 28.473857282902394, Yaw: -0.8846349945687617, Timestamp: 1754491028969
