Rotation: -0.8999120369946136, Roll: 1.915434279945634, Pitch: 1.5196301584249716, Yaw: -0.14115242727701463, Timestamp: 1754490653591
Rotation: -0.8998084605695587, Roll: 1.9150735593078936, Pitch: 1.5196671885567623, Yaw: -0.14111643547145067, Timestamp: 1754490653581
Rotation: -0.8997473692375464, Roll: 1.9147277600262465, Pitch: 1.519583571903816, Yaw: -0.14117129077627755, Timestamp: 1754490653571
Rotation: -0.8999262425559542, Roll: 1.914999561903562, Pitch: 1.5192411411180355, Yaw: -0.14091137148185226, Timestamp: 1754490653561
Rotation: -0.8998179291949344, Roll: 1.914694105034886, Pitch: 1.519336772321753, Yaw: -0.1406569188849485, Timestamp: 1754490653551
Rotation: -0.8997640171368184, Roll: 1.9144192449428976, Pitch: 1.519287040189003, Yaw: -0.14096527896447147, Timestamp: 1754490653541
Rotation: -0.8996461471387551, Roll: 1.914376909107586, Pitch: 1.5196209893527333, Yaw: -0.1414004354331184, Timestamp: 1754490653531
Rotation: -0.8997452293219452, Roll: 1.9142097990817157, Pitch: 1.5191795184915535, Yaw: -0.14127354166743317, Timestamp: 1754490653521
Rotation: -0.8996467815701719, Roll: 1.9139081400021836, Pitch: 1.5192472925426892, Yaw: -0.14144520550610679, Timestamp: 1754490653511
Rotation: -0.8994748397754107, Roll: 1.9134943658446852, Pitch: 1.5194551647475376, Yaw: -0.1414736089681233, Timestamp: 1754490653501
Rotation: -0.8995778080078263, Roll: 1.9137198585736463, Pitch: 1.5193129560298826, Yaw: -0.14168859739707543, Timestamp: 1754490653491
Rotation: -0.8995842629826476, Roll: 1.913566749384125, Pitch: 1.5191713884791338, Yaw: -0.14195360933354587, Timestamp: 1754490653482
Rotation: -0.8995541668189513, Roll: 1.913645121501562, Pitch: 1.519327428586931, Yaw: -0.14202530981076492, Timestamp: 1754490653471
Rotation: -0.8995909051508835, Roll: 1.9132539130219348, Pitch: 1.5189026369119756, Yaw: -0.14225060498277284, Timestamp: 1754490653463
Rotation: -0.8995673544657734, Roll: 1.9129890756226997, Pitch: 1.5187659659370565, Yaw: -0.1424497654566812, Timestamp: 1754490653451
Rotation: -0.8997716532336582, Roll: 1.9134023735140282, Pitch: 1.5184569897443112, Yaw: -0.14234359944434538, Timestamp: 1754490653442
Rotation: -0.8998168379871521, Roll: 1.9138788909732793, Pitch: 1.518693880343657, Yaw: -0.14136391138651905, Timestamp: 1754490653432
Rotation: -0.89985913765386, Roll: 1.9139969090110793, Pitch: 1.518655676829744, Yaw: -0.14072614528750813, Timestamp: 1754490653421
Rotation: -0.8999290846450498, Roll: 1.9142420870885484, Pitch: 1.5186318218162753, Yaw: -0.14040814361281384, Timestamp: 1754490653411
Rotation: -0.899884386949966, Roll: 1.9141685800145383, Pitch: 1.5187129402271804, Yaw: -0.1395554595171166, Timestamp: 1754490653401
Rotation: -0.8997687252556501, Roll: 1.9143696604466, Pitch: 1.5192329577504664, Yaw: -0.13934665428063092, Timestamp: 1754490653391
Rotation: -0.899727379546015, Roll: 1.914525104118012, Pitch: 1.519485279791766, Yaw: -0.13899445869579682, Timestamp: 1754490653381
Rotation: -0.899613281560538, Roll: 1.9142491831287192, Pitch: 1.5196221756193127, Yaw: -0.1388793943615401, Timestamp: 1754490653371
Rotation: -0.8994879034008507, Roll: 1.9138974216753888, Pitch: 1.5197341162109947, Yaw: -0.13914240640986894, Timestamp: 1754490653361
Rotation: -0.8995325855541978, Roll: 1.9137951998903306, Pitch: 1.5195138245649866, Yaw: -0.1394009704549213, Timestamp: 1754490653351
Rotation: -0.899484746268715, Roll: 1.9138268263578762, Pitch: 1.519688011160379, Yaw: -0.13939269074860117, Timestamp: 1754490653341
Rotation: -0.8993898467285621, Roll: 1.9135151535552632, Pitch: 1.5197366884635584, Yaw: -0.13932131272184925, Timestamp: 1754490653331
Rotation: -0.8995317636880293, Roll: 1.913303081409673, Pitch: 1.5191259538581592, Yaw: -0.13905268815471644, Timestamp: 1754490653321
Rotation: -0.8994124273512072, Roll: 1.9131081466015039, Pitch: 1.5193433582297278, Yaw: -0.13869745762812735, Timestamp: 1754490653311
Rotation: -0.8993093541777459, Roll: 1.9129775763182055, Pitch: 1.519561192035204, Yaw: -0.1386349142872893, Timestamp: 1754490653301
Rotation: -0.8993008677334662, Roll: 1.9129022757333092, Pitch: 1.519527787022096, Yaw: -0.13815177849280963, Timestamp: 1754490653291
Rotation: -0.8994201458372402, Roll: 1.9130231733095133, Pitch: 1.5192517496298468, Yaw: -0.13802567657486095, Timestamp: 1754490653281
Rotation: -0.8995023825036634, Roll: 1.9130726128971307, Pitch: 1.5190347498474912, Yaw: -0.13801329939445808, Timestamp: 1754490653271
Rotation: -0.8997963381837346, Roll: 1.9134489083202004, Pitch: 1.5184169730511448, Yaw: -0.13847433162585804, Timestamp: 1754490653261
